request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_43,8344740.52,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,Wait until 2024-11-15; a full payment is not safe today but is forecast to be safe then.
request_44,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_45,5167850.69,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,Wait until 2026-09-15; a full payment is not safe today but is forecast to be safe then.
request_46,44326.19,affordable_with_plan,partial_payment,2024-12-03:44326.19|2024-12-15:5123.81,2024-12-15,none,The request is safe only with the selected partial_payment plan while maintaining the required minimum balance.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_49,14723057.15,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-03-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_52,22063.42,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Wait until 2024-06-15; a full payment is not safe today but is forecast to be safe then.
request_53,714.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_54,4508.73,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_55,134746.67,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_56,778.78,affordable_with_plan,partial_payment,2025-02-03:778.78|2025-02-15:102.78,2025-02-15,none,The request is safe only with the selected partial_payment plan while maintaining the required minimum balance.
request_57,15164.33,affordable_later,wait,2026-05-15:61446,2026-05-15,none,Wait until 2026-05-15; a full payment is not safe today but is forecast to be safe then.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_60,183.63,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Wait until 2026-01-15; a full payment is not safe today but is forecast to be safe then.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_63,53215.75,affordable_with_plan,partial_payment,2026-07-07:53215.75|2026-08-15:290684.25,2026-08-15,none,The request is safe only with the selected partial_payment plan while maintaining the required minimum balance.
request_64,0,not_affordable,not_recommended,none,2024-08-15,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_65,7267.71,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_67,607.45,affordable_later,wait,2024-09-15:2094,2024-09-15,none,Wait until 2024-09-15; a full payment is not safe today but is forecast to be safe then.
request_68,1531.08,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_70,61135.81,affordable_later,wait,2025-02-15:243900,2025-02-15,none,Wait until 2025-02-15; a full payment is not safe today but is forecast to be safe then.
request_71,2217740.02,not_affordable,not_recommended,none,2025-07-15,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_72,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_76,1103.56,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_79,483.32,affordable_with_plan,partial_payment,2024-09-04:483.32|2024-09-15:1668.28,2024-09-15,none,The request is safe only with the selected partial_payment plan while maintaining the required minimum balance.
request_80,92294.71,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_82,541.67,affordable_later,wait,2024-12-15:1405.2,2024-12-15,none,Wait until 2024-12-15; a full payment is not safe today but is forecast to be safe then.
request_83,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_84,33624.84,affordable_later,wait,2026-05-15:95400,2026-05-15,none,Wait until 2026-05-15; a full payment is not safe today but is forecast to be safe then.
request_85,979173.02,not_affordable,not_recommended,none,2024-05-15,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_87,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_89,10950060.04,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_91,734.11,affordable_later,wait,2024-10-15:1927.2,2024-10-15,none,Wait until 2024-10-15; a full payment is not safe today but is forecast to be safe then.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_95,49432.67,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_96,56817.81,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_97,1771.74,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_98,9873.58,affordable_later,wait,2025-08-15:27148,2025-08-15,none,Wait until 2025-08-15; a full payment is not safe today but is forecast to be safe then.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_100,29616.17,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_103,22528.08,not_affordable,not_recommended,none,2024-11-15,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_106,539.84,affordable_later,wait,2025-01-15:2207.7,2025-01-15,none,Wait until 2025-01-15; a full payment is not safe today but is forecast to be safe then.
request_107,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_108,4760.19,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_109,806.72,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_112,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_113,36500,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_115,16803.84,affordable_later,wait,2024-10-15:80500,2024-10-15,none,Wait until 2024-10-15; a full payment is not safe today but is forecast to be safe then.
request_116,27543.98,not_affordable,not_recommended,none,2025-03-15,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_118,718.12,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_119,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_124,1497.09,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_126,82821.10,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_127,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_129,159.01,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_130,601.59,affordable_later,wait,2024-12-15:1978.8,2024-12-15,none,Wait until 2024-12-15; a full payment is not safe today but is forecast to be safe then.
request_131,1493.67,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_133,1292736.040,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_134,7407746.83,affordable_later,wait,2025-08-15:21831000,2025-08-15,none,Wait until 2025-08-15; a full payment is not safe today but is forecast to be safe then.
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_137,37380.24,affordable_later,wait,2025-12-15:80100,2025-12-15,none,Wait until 2025-12-15; a full payment is not safe today but is forecast to be safe then.
request_138,999.38,affordable_with_plan,partial_payment,2026-04-07:999.38|2026-04-15:257.56,2026-04-15,none,The request is safe only with the selected partial_payment plan while maintaining the required minimum balance.
request_139,1558.74,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_140,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_141,28728.73,not_affordable,not_recommended,none,2026-03-15,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_143,4472.25,affordable_later,wait,2025-06-15:12584,2025-06-15,none,Wait until 2025-06-15; a full payment is not safe today but is forecast to be safe then.
request_144,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_145,50180.19,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-04-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_146,27847.22,affordable_later,wait,2025-10-15:449400,2025-10-15,none,Wait until 2025-10-15; a full payment is not safe today but is forecast to be safe then.
request_147,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_148,10456.18,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_149,25585.29,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_150,406.79,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_152,12416.74,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_153,272.64,affordable_later,wait,2026-09-15:2830.8,2026-09-15,none,Wait until 2026-09-15; a full payment is not safe today but is forecast to be safe then.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_155,55086.95,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_156,11447.86,affordable_later,wait,2026-05-15:43076,2026-05-15,none,Wait until 2026-05-15; a full payment is not safe today but is forecast to be safe then.
request_157,7058932.83,affordable_later,wait,2024-03-15:23503000,2024-03-15,none,Wait until 2024-03-15; a full payment is not safe today but is forecast to be safe then.
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_159,8038.82,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_160,643.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_161,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_162,4447515.27,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_163,13289162.00,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_168,43454.63,affordable_with_plan,partial_payment,2026-01-07:43454.63|2026-01-15:5925.37,2026-01-15,none,The request is safe only with the selected partial_payment plan while maintaining the required minimum balance.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_170,33634045.33,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_171,96.26,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_173,69931.37,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-11-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_176,469.33,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_179,8788418.30,affordable_later,wait,2025-06-15:41648000,2025-06-15,none,Wait until 2025-06-15; a full payment is not safe today but is forecast to be safe then.
request_180,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_181,472.15,not_affordable,not_recommended,none,2024-05-15,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_183,25060778.93,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_184,17717.13,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_185,433.01,affordable_later,wait,2025-12-15:1257.3,2025-12-15,none,Wait until 2025-12-15; a full payment is not safe today but is forecast to be safe then.
request_186,7802.58,affordable_later,wait,2026-02-15:26554,2026-02-15,none,Wait until 2026-02-15; a full payment is not safe today but is forecast to be safe then.
request_187,45013.5,affordable_later,wait,2024-10-15:187500,2024-10-15,none,Wait until 2024-10-15; a full payment is not safe today but is forecast to be safe then.
request_188,141.95,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_190,808.11,affordable_later,wait,2024-12-15:2557.5,2024-12-15,none,Wait until 2024-12-15; a full payment is not safe today but is forecast to be safe then.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_192,221.77,not_affordable,not_recommended,none,2026-05-15,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_193,138.25,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-03-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_194,42597.37,affordable_later,wait,2025-09-15:132800,2025-09-15,none,Wait until 2025-09-15; a full payment is not safe today but is forecast to be safe then.
request_195,1079.91,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_197,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_204,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_207,6965.65,affordable_later,wait,2026-07-15:11830,2026-07-15,none,Wait until 2026-07-15; a full payment is not safe today but is forecast to be safe then.
request_208,4413000,affordable_now,full_payment,2024-06-07:4413000,2024-06-07,none,The full amount is safe today while preserving the required minimum balance for the 90-day forecast.
request_209,2414.67,not_affordable,not_recommended,none,2026-01-15,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_210,1100.68,affordable_with_plan,partial_payment,2026-04-06:1100.68|2026-04-15:259.34,2026-04-15,none,The request is safe only with the selected partial_payment plan while maintaining the required minimum balance.
request_211,457.71,affordable_later,wait,2024-09-15:1788.6,2024-09-15,none,Wait until 2024-09-15; a full payment is not safe today but is forecast to be safe then.
request_212,7816237.96,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_214,69750,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-04,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_216,721.02,affordable_later,wait,2026-09-15:3332.4,2026-09-15,none,Wait until 2026-09-15; a full payment is not safe today but is forecast to be safe then.
request_217,21896.07,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_218,26460571.15,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,The request is safe only with the selected installments plan while maintaining the required minimum balance.
request_219,0,not_affordable,not_recommended,none,,none,No eligible payment plan can complete the request safely within the 90-day forecast.
